age_ka,cmcd,MgCa,BWT,d18O_sw,RSL,RSL_smooth
688.3,27.8,1.33,1.1,0.06,3.7,-1.8
691.4,28,1.53,2.5,0.27,-17.3,-8.3
694.4,28.1,1.56,2.7,0.21,-11.3,-18.8
697.6,28.3,1.69,3.5,0.38,-27.6,-12.3
703.6,28.6,1.43,1.8,0.08,2,-30.8
707.3,28.7,1.71,3.6,0.77,-66.7,-26.8
711.1,28.9,1.16,0,0.26,-15.6,-42.1
715,29,1.17,0,0.54,-43.9,-38
718.6,29.2,1.2,0.2,0.65,-54.6,-51.2
724.5,29.5,1.27,0.7,0.65,-55.1,-55.1
727.8,29.6,1.44,1.9,0.66,-55.8,-49.4
731.2,29.8,1.5,2.3,0.47,-37.3,-45.3
734.5,29.9,1.5,2.3,0.53,-42.9,-38.3
737.8,30.1,1.39,1.5,0.45,-34.7,-43.8
741.1,30.2,1.44,1.9,0.64,-53.7,-40.4
746.8,30.6,1.09,-0.5,0.43,-32.6,-44.1
753.4,30.8,1.17,0.1,0.56,-46,-40.9
757.4,31,1.22,0.4,0.54,-44,-38.9
762.2,31.1,1.19,0.2,0.37,-26.8,-35.5
775.1,31.6,1.44,1.9,0.46,-35.7,-31.5
781.6,31.8,1.61,3,0.42,-31.9,-39.8
786.2,32,1.66,3.3,0.62,-51.7,-50.2
789.5,32.1,1.51,2.3,0.77,-66.9,-58.1
794.1,32.3,1.16,0,0.66,-55.6,-62.6
802.4,32.6,1.27,0.7,0.75,-65.4,-52.5
805.5,32.7,1.17,0,0.47,-36.6,-39.1
812.3,33,1.21,0.4,0.25,-15.3,-14
821.8,33.3,1.3,0.9,0,9.8,2.1
827.1,33.5,1.29,0.9,-0.02,11.7,-2.9
832.9,33.6,1.49,2.2,0.4,-30.4,-6.7
845.5,33.9,1.38,1.5,0.11,-1.4,2.7
851.1,34.1,1.26,0.7,-0.3,39.9,23.1
863.1,34.4,1.27,0.7,-0.21,30.7,-2.2
869.2,34.7,1.65,3.3,0.87,-77.2,-35
872.8,34.8,1.25,0.6,0.69,-58.6,-60.2
880.6,35.1,1.26,0.7,0.55,-44.7,-31.1
888.3,35.4,1.06,-0.7,0,10,-37.5
902.3,36,1.64,3.2,0.88,-77.8,-33.6
908,36.3,1.36,1.3,0.43,-33.1,-48.4
910.9,36.5,1.35,1.3,0.44,-34.3,-35.3
913.3,36.6,1.45,1.9,0.48,-38.4,-31.8
916,36.8,1.24,0.5,0.33,-22.6,-6.9
924.7,37.2,1.08,-0.5,-0.3,40.2,7.5
928,37.4,1.07,-0.6,0.05,4.9,19.5
932,37.6,1.16,0,-0.03,13.4,7
935.8,37.7,1.29,0.9,0.07,2.8,16.8
939.1,37.9,1.19,0.2,-0.24,34.4,15.2
942.2,38,1.46,2,0.02,8.3,17.7
945.3,38.2,1.44,1.9,0,10.5,13.4
948.2,38.3,1.45,1.9,-0.11,21.3,14.5
954.4,38.6,1.52,2.4,-0.02,11.8,-7.5
963.3,38.9,1.36,1.4,0.66,-55.8,-22.3
967,39.1,1.31,1,0.33,-23,-38.8
970.5,39.2,1.41,1.6,0.48,-37.7,-26.4
974.6,39.4,1.39,1.5,0.28,-18.5,-22.2
978.2,39.5,1.37,1.4,0.21,-10.6,-13.5
981.6,39.7,1.36,1.3,0.21,-11.5,-18.9
984.9,39.8,1.42,1.7,0.45,-34.6,-19
987.7,40,1.24,0.6,0.21,-10.9,-12.2
990.8,40.1,1.2,0.3,0.01,8.8,-11
994,40.3,1.57,2.7,0.41,-30.9,-13.9
999.6,40.6,1.5,2.2,0.3,-19.5,-24.7
1003.6,40.7,1.32,1.1,0.34,-23.7,-25.7
1007.7,40.9,1.3,0.9,0.44,-33.8,-23.4
1011.3,41,1.31,1,0.23,-12.8,-19
1014.7,41.2,1.4,1.6,0.21,-10.5,-8.4
1017.8,41.3,1.4,1.6,0.12,-1.9,-9.4
1026.8,41.8,1.56,2.6,0.26,-15.8,-21.7
1029.9,41.9,1.65,3.2,0.57,-47.2,-30.6
1032.9,42.1,1.39,1.5,0.39,-28.6,-47.1
1036,42.2,1.47,2,0.75,-65.5,-75.6
1039,42.4,1.76,4,1.43,-132.8,-95
1042,42.5,1.47,2,0.97,-86.6,-104.3
1045.1,42.7,1.49,2.2,1.04,-93.6,-79.4
1048.1,42.8,1.28,0.8,0.68,-58.1,-58.6
1053.9,43.1,1.31,1,0.34,-24.2,-37.4
1056.9,43.3,1.43,1.8,0.4,-29.9,-21
1059.3,43.4,1.31,1,0.19,-8.8,-13.4
1066.9,43.7,1.59,2.9,0.11,-1.4,0.1
1070.2,43.8,1.71,3.7,0,10.4,6.3
1075.6,44,1.75,3.9,0,9.8,14.2
1078.9,44.2,1.58,2.8,-0.12,22.3,9.1
1082.9,44.3,1.64,3.2,0.15,-4.8,-4.6
1091.2,44.6,1.64,3.2,0.41,-31.5,-12.5
1095.5,44.8,1.34,1.2,0.11,-1.3,-21.8
1099.2,44.9,1.54,2.5,0.43,-32.7,-4.1
1104.5,45.1,1.27,0.7,-0.12,21.9,-0.2
1107,45.2,1.36,1.3,0,10.2,12.2
1110,45.4,1.48,2.1,0.05,4.5,-7.2
1113.3,45.5,1.58,2.8,0.46,-36.2,-30.7
1116.6,45.7,1.59,2.9,0.71,-60.5,-46.3
1120.5,45.8,1.38,1.5,0.52,-42.1,-65.2
1124.9,46,1.48,2.2,1.03,-92.9,-58.6
1129.9,46.1,1.34,1.2,0.51,-40.8,-54.9
1134.6,46.3,1.4,1.6,0.41,-31,-26.9
1138.3,46.4,1.34,1.2,0.19,-9,-5.7
1144.3,46.6,1.18,0.1,-0.13,22.8,3.7
1148.4,46.7,1.38,1.4,0.13,-2.7,10.9
1152.6,46.9,1.4,1.6,-0.03,12.5,-13.7
1156.9,47,1.87,4.7,0.61,-50.9,-30.5
1174.5,47.8,1.86,4.6,0.63,-53.1,-44.7
1178.5,48,1.68,3.5,0.4,-30.2,-37.3
1182.6,48.2,1.73,3.8,0.39,-28.5,-30.6
1185.4,48.4,1.52,2.4,0.43,-33,-43.5
1188.6,48.5,1.6,2.9,0.79,-68.9,-49.5
1198.4,49,1.26,0.7,0.57,-46.7,-53.2
1208.1,49.4,1.3,0.9,0.54,-44,-49.3
1216.8,49.7,1.6,3,0.67,-57.3,-31.9
1227.5,50,1.5,2.3,0.04,5.6,-11.3
1231.4,50.2,1.6,3,-0.08,17.9,4.2
1235.6,50.3,1.76,4,0.21,-10.8,10.2
1239.2,50.5,1.55,2.6,-0.13,23.4,1.2
1242.4,50.6,1.54,2.5,0.19,-8.9,-9.7
1245.4,50.8,1.39,1.6,0.53,-43.5,-31.9
1248,50.9,1.18,0.1,0.53,-43.2,-56.8
1252.2,51.2,1.44,1.9,0.94,-83.8,-63.1
1254.4,51.4,1.48,2.1,0.72,-62.4,-66.3
1256,51.5,1.52,2.4,0.63,-52.6,-46.1
1258,51.7,1.43,1.8,0.33,-23.4,-30.1
1259.6,51.8,1.39,1.5,0.24,-14.3,-25.3
1266.3,52.3,1.49,2.2,0.48,-38.3,-39.2
1268.5,52.5,1.49,2.2,0.75,-64.9,-54.9
1270.5,52.6,1.4,1.6,0.71,-61.4,-55.6
1274.8,52.9,1.56,2.7,0.51,-40.6,-45.6
1280.3,53.2,1.65,3.3,0.45,-34.7,-37.6
1283.8,53.4,1.58,2.8,0.48,-37.7,-30.1
1300.6,53.8,1.43,1.8,0.28,-18,-24.7
1334.7,54.6,1.28,0.8,0.28,-18.4,-14.8
1345.2,54.9,1.43,1.8,0.18,-7.9,-4.5
1349.2,55.1,1.49,2.2,-0.03,12.8,8.3
1352.1,55.2,1.59,2.9,-0.1,19.9,20.9
1355.5,55.3,1.46,2,-0.2,29.9,14.8
1358.7,55.5,1.54,2.6,0.15,-5.5,-17.5
1361.8,55.6,1.87,4.7,0.87,-76.9,-45.5
1364.7,55.8,1.64,3.2,0.64,-54.2,-60
1367.6,55.9,1.49,2.2,0.59,-48.8,-47.1
1370.4,56.1,1.32,1.1,0.48,-38.3,-44.9
1373.4,56.2,1.36,1.3,0.58,-47.6,-42.7
1376,56.4,1.34,1.2,0.52,-42.3,-43.5
1379.5,56.5,1.48,2.1,0.51,-40.6,-31.3
1383,56.7,1.42,1.7,0.21,-10.8,-17.8
1386.9,56.8,1.43,1.8,0.12,-1.8,-12.6
1391.2,57,1.64,3.2,0.35,-25.2,-16
1395.9,57.1,1.64,3.2,0.31,-21,-14.9
1409,57.6,1.19,0.2,0.09,1.4,-16
1413.4,57.7,1.32,1,0.38,-28.4,-14.8
1417.5,57.9,1.34,1.2,0.27,-17.4,-30.5
1421.5,58,1.46,2,0.56,-45.8,-27.3
1427,58.2,1.45,1.9,0.29,-18.7,-19
1432.4,58.3,1.52,2.4,0.03,7.5,-10.7
1438,58.5,1.74,3.9,0.31,-20.9,-9.3
1443.6,58.6,1.63,3.1,0.24,-14.4,-28.4
1448.1,58.8,1.71,3.7,0.6,-49.8,-46.5
1452.1,58.9,1.67,3.4,0.85,-75.2,-61
1457.8,59.2,1.44,1.9,0.68,-58.1,-58.5
1463.8,59.5,1.29,0.8,0.52,-42.1,-38.4
1466.7,59.7,1.35,1.2,0.25,-15,-24.7
1472.7,60,1.58,2.8,0.27,-16.9,-20.6
1475.8,60.1,1.76,4,0.4,-29.8,-22.4
1479.5,60.3,1.72,3.8,0.31,-20.5,-28.8
1483.4,60.4,1.81,4.3,0.46,-36.1,-28
1487.5,60.6,1.7,3.6,0.37,-27.4,-42.1
1495.5,60.9,1.52,2.4,0.73,-62.6,-67.4
1498.9,61,1.62,3.1,1.22,-112.1,-82.8
1502.3,61.2,1.44,1.9,0.84,-73.6,-69.6
1505.5,61.3,1.28,0.8,0.33,-23.1,-54.5
1508.7,61.5,1.57,2.7,0.77,-66.6,-52.5
1512.7,61.6,1.73,3.8,0.78,-67.6,-64.9
1517.1,61.8,1.79,4.2,0.7,-60.4,-56.4
1521.8,61.9,1.67,3.4,0.51,-41.3,-69.9
1525.9,62.1,1.84,4.5,1.18,-108.2,-76.3
1548.3,63.2,1.57,2.8,0.89,-79.4,-69.7
1554.1,63.5,1.37,1.4,0.32,-21.7,-24.2
1556.1,63.6,1.2,0.2,-0.18,28.3,-4.5
1559.6,63.8,1.62,3.1,0.3,-20,-6.6
1568,64.2,1.61,3,0.38,-28.2,-26.9
1570.6,64.4,1.38,1.5,0.43,-32.5,-48.5
1573.1,64.5,1.53,2.5,0.95,-84.9,-51.5
1575.3,64.7,1.21,0.4,0.47,-37.1,-72.2
1579.9,65,1.71,3.6,1.04,-94.4,-59.5
1585.1,65.3,1.57,2.7,0.57,-47,-59.1
1587.9,65.4,1.5,2.3,0.46,-35.8,-38.1
1597.5,65.9,1.56,2.7,0.42,-31.5,-18.9
1601,66,1.45,1.9,-0.01,10.7,-6.8
1604.5,66.2,1.48,2.1,0.1,0.2,-13.4
1611.6,66.5,1.71,3.7,0.61,-51.3,-30.4
1615.2,66.6,1.49,2.2,0.5,-40.3,-34.5
1618.7,66.8,1.41,1.7,0.22,-11.8,-29.9
1622.3,66.9,1.59,2.8,0.48,-37.8,-22.9
1625.8,67.1,1.41,1.6,0.29,-19.2,-16.2
1629.5,67.2,1.29,0.9,0.02,8.3,-13.7
1633.7,67.4,1.63,3.1,0.4,-30.2,-22.5
1638,67.5,1.67,3.4,0.55,-45.4,-38.1
1642,67.7,1.5,2.3,0.49,-38.6,-50
1645.5,67.8,1.55,2.6,0.76,-66.1,-81.6
1648.9,68,1.86,4.7,1.5,-140.2,-88.8
1652,68.1,1.38,1.5,0.7,-60.2,-97.5
1655.1,68.3,1.59,2.9,1.02,-92.2,-78
1658.3,68.4,1.5,2.3,0.91,-81.4,-86
1661.7,68.6,1.5,2.3,0.94,-84.3,-70.7
1665.2,68.7,1.4,1.6,0.56,-46.2,-57.3
1668.5,68.9,1.55,2.6,0.51,-41.4,-36.9
1671.2,69,1.48,2.1,0.33,-23,-29.9
1674.7,69.2,1.61,3,0.35,-25.2,-24
1677.8,69.3,1.65,3.3,0.34,-23.7,-33.5
1681,69.5,1.71,3.7,0.62,-51.6,-46.1
1684.6,69.6,1.78,4.1,0.73,-62.9,-62
1688.9,69.8,1.74,3.9,0.81,-71.4,-74.4
1693.6,69.9,1.88,4.8,0.99,-89.1,-64
1699.5,70.1,1.38,1.5,0.42,-31.6,-49.8
1708.2,70.2,1.3,0.9,0.39,-28.7,-15.9
1717.5,70.4,1.29,0.9,-0.03,12.6,2.5
1726.5,70.5,1.32,1.1,-0.13,23.5,-2.9
1735.3,70.7,1.67,3.4,0.55,-44.8,-17.3
1744.1,70.8,1.41,1.6,0.41,-30.6,-23.6
1754.4,71.1,1.31,1,0.05,4.6,-10.2
1757.1,71.3,1.44,1.9,0.14,-4.5,-13.2
1759.4,71.4,1.56,2.7,0.5,-39.7,-11.7
1779.4,73.2,1.39,1.5,0.01,8.9,-18.8
1781.7,73.4,1.54,2.5,0.36,-25.7,-23.3
1783.6,73.5,1.62,3.1,0.63,-53.2,-29.5
1785.6,73.7,1.29,0.9,0.2,-9.7,-29.4
1787.6,73.8,1.35,1.3,0.35,-25.4,-27.5
1790.5,74,1.48,2.1,0.58,-47.5,-28.6
1794.1,74.1,1.26,0.7,0.23,-12.8,-18.3
1798.3,74.3,1.19,0.2,0.05,5.3,-30.9
1802.8,74.4,1.86,4.7,0.95,-85.3,-36.4
1807.4,74.6,1.66,3.3,0.39,-29.1,-37.5
1811.7,74.7,1.55,2.6,0.08,1.9,-22.3
1817.4,74.9,1.67,3.4,0.5,-39.8,-10.1
1833.3,75.2,1.42,1.8,0.02,7.6,-17.7
1841.6,75.3,1.6,2.9,0.31,-20.8,-6.5
1848.4,75.5,1.53,2.4,0.16,-6.4,-7.6
1854.7,75.6,1.42,1.7,0.06,4.3,-15.3
1860.8,75.8,1.42,1.8,0.54,-43.9,-19.6
1866.9,75.9,1.27,0.8,0.29,-19.3,-39
1872.6,76.1,1.66,3.3,0.64,-53.8,-48.8
1879.2,76.2,1.86,4.7,0.83,-73.2,-55.1
1885,76.4,1.65,3.2,0.48,-38.2,-46.8
1890.2,76.5,1.64,3.2,0.39,-29.1,-28.1
1896.5,76.7,1.58,2.8,0.27,-17.1,-35.2
1901.2,76.8,1.71,3.7,0.69,-59.3,-40.6
1906.1,77,1.63,3.1,0.55,-45.3,-56.9
1910.6,77.1,1.85,4.6,0.76,-66,-43.7
1914.7,77.3,1.59,2.9,0.3,-19.9,-57.7
1928.3,77.9,1.96,5.3,0.97,-87.1,-72.3
1931,78,2.11,6.4,1.2,-110,-97
1936.1,78.3,2.05,5.9,1.04,-93.9,-99.5
1940.5,78.6,1.96,5.3,1.05,-94.6,-82.4
1944.9,78.9,1.56,2.6,0.69,-58.7,-76.2
1947.1,79.1,1.59,2.8,0.85,-75.3,-51.4
1949.3,79.2,1.28,0.8,0.3,-20.3,-42
1951.5,79.4,1.34,1.2,0.4,-30.5,-31.4
1953.9,79.5,1.39,1.6,0.53,-43.4,-56.4
1956.5,79.7,1.78,4.1,1.05,-95.4,-58.7
1959.3,79.8,1.45,1.9,0.47,-37.4,-47.9
1962.3,80,1.35,1.3,0.21,-11,-27.6
1965.3,80.1,1.56,2.7,0.45,-34.6,-21.2
1968.3,80.3,1.49,2.2,0.28,-18,-25.6
1971.4,80.4,1.59,2.9,0.34,-24.2,-27.8
1975,80.6,1.76,4,0.51,-41.1,-22.9
1978.7,80.7,1.58,2.8,0.13,-3.5,-21
1986.3,81,1.7,3.6,0.28,-18.3,-5
1989.6,81.2,1.28,0.8,0.03,6.7,-24.2
1992.5,81.3,1.51,2.3,0.71,-61.1,-27.5
1995.2,81.5,1.36,1.3,0.38,-28.1,-26.2
2000.1,81.8,1.22,0.4,-0.01,10.7,-10.9
2009.7,82.6,1.62,3,0.25,-15.5,-19.6
2012.6,82.9,1.64,3.2,0.64,-54,-37.8
2014.1,83.1,1.46,2,0.54,-44,-50.4
2016.8,83.4,1.57,2.7,0.63,-53.2,-40.2
2018.3,83.5,1.46,2,0.33,-23.4,-25.8
2019.7,83.7,1.42,1.7,0.11,-0.9,-0.5
2021.1,83.8,1.3,0.9,-0.13,22.7,-6.5
2022.6,84,1.66,3.3,0.51,-41.3,-12.1
2024.5,84.1,1.62,3,0.28,-17.7,-22.3
2026.6,84.3,1.64,3.2,0.18,-8.1,-20.2
2028.4,84.4,1.8,4.2,0.45,-34.9,-15.4
2035.2,84.9,1.56,2.6,0.13,-3.2,-28.9
2037.5,85,1.76,4,0.58,-48.5,-44.9
2040,85.2,1.87,4.7,0.93,-83.1,-56.6
2045.2,85.5,1.55,2.6,0.48,-38.1,-59.5
2047.8,85.6,1.71,3.7,0.67,-57.3,-45.7
2050.4,85.8,1.7,3.6,0.52,-41.8,-55.9
2066.2,86.7,1.66,3.3,0.79,-68.7,-49.5
2069.2,86.8,1.32,1.1,0.48,-38,-50.1
2072.2,87,1.33,1.1,0.54,-43.6,-31.9
2075.1,87.1,1.21,0.3,0.24,-14.1,-25
2078.3,87.3,1.27,0.8,0.27,-17.4,-11.5
2081.2,87.4,1.26,0.7,0.13,-3.1,-23.1
2084.2,87.6,1.62,3,0.59,-48.6,-27.1
2087.2,87.7,1.54,2.5,0.39,-29.5,-30.3
2089.7,87.9,1.52,2.4,0.23,-12.9,-21.8
2095.9,88.2,1.54,2.5,0.33,-22.9,-19.5
2102,88.5,1.55,2.6,0.33,-22.7,-8.6
2105,88.6,1.43,1.8,-0.1,19.8,-6
2108.1,88.8,1.67,3.4,0.25,-15,10.1
2111.2,88.9,1.4,1.6,-0.15,25.4,-1.9
2114.2,89.1,1.64,3.2,0.26,-16.1,0.4
2117.4,89.2,1.45,1.9,0.18,-8.1,-16.7
2120.6,89.4,1.57,2.7,0.36,-26,-3.3
2136.2,90,1.48,2.1,-0.14,24.4,-11.6
2144.1,90.3,1.62,3.1,0.43,-33.1,-11.4
2148.1,90.4,1.37,1.4,0.35,-25.4,-33.3
2151.8,90.6,1.29,0.9,0.51,-41.4,-34.1
2161.2,91,1.35,1.3,0.46,-35.6,-24.2
2164.5,91.2,1.39,1.5,0.06,4.3,-15.1
2209.8,92.9,1.52,2.4,0.24,-13.9,-6.1
2213.4,93,1.5,2.3,0.19,-8.5,-3.7
2220.2,93.3,1.41,1.7,-0.01,11.5,-0.6
2223.3,93.5,1.58,2.8,0.15,-4.7,-3.1
2225.7,93.6,1.61,3,0.26,-16,-7.9
2228.2,93.8,1.56,2.7,0.13,-3.1,-11.1
2230.9,93.9,1.73,3.8,0.24,-14.2,-16.6
2233.3,94.1,1.81,4.3,0.43,-32.6,-16.9
2236.5,94.2,1.46,2,0.14,-3.7,-11.8
2241.7,94.5,1.29,0.9,0.09,1,-11.1
2253.4,95.1,1.76,4,0.4,-30.4,-5.9
2261.5,95.6,1.61,3,-0.02,11.8,0.1
2265,95.7,1.54,2.5,-0.09,19,0.9
2272.1,96,1.61,3,0.38,-28.2,-17
2279.1,96.3,1.51,2.3,0.52,-41.9,-27.5
2282.6,96.5,1.34,1.2,0.22,-12.3,-17.2
2286.1,96.6,1.31,1,0.07,2.6,5.4
2289.7,96.8,1.27,0.7,-0.16,26,4.6
2293,96.9,1.61,3,0.25,-14.8,2.3
2296.4,97.1,1.61,3,0.14,-4.1,-9.9
2299.7,97.2,1.7,3.6,0.21,-10.7,-6.2
2303.1,97.4,1.62,3,0.14,-3.7,-12.2
2306.5,97.5,1.65,3.2,0.32,-22.1,-19.6
2309.9,97.7,1.64,3.2,0.43,-32.9,-17.9
2316.6,98,1.39,1.5,0.09,1.3,-18.1
2320,98.1,1.48,2.2,0.33,-22.6,-19
2323.4,98.3,1.66,3.3,0.46,-35.8,-12
2326.8,98.4,1.36,1.4,-0.12,22.5,6.3
2333.8,98.7,1.32,1.1,-0.22,32.3,11.9
2340.5,99,1.73,3.8,0.29,-19.1,8.5
2343.4,99.2,1.59,2.9,-0.02,12.4,0.4
2346.1,99.3,1.6,3,0.02,8,-3.6
2349.5,99.5,1.69,3.5,0.41,-31.2,-12
2355.1,99.8,1.42,1.7,0.23,-12.8,-20.8
2358.4,99.9,1.42,1.7,0.28,-18.4,-9.8
2361.4,100.1,1.32,1.1,0.08,1.9,0.3
2364.4,100.2,1.25,0.6,-0.08,17.6,5.2
2367.2,100.4,1.45,2,0.14,-3.8,4.6
2370.4,100.5,1.59,2.8,0.1,0.1,-1.9
2373.5,100.7,1.66,3.3,0.12,-1.9,-1
2377.3,100.9,1.6,2.9,0.11,-1.1,-1.8
2380.3,101,1.57,2.7,0.12,-2.3,-3.5
